Pollutant,Horizon,Model,RMSE,MAE,R2
C6H6_GT,24h,LinearRegression,5.477462786328126,4.042757921657067,0.3083372645263076
C6H6_GT,24h,RandomForest,6.320919444046209,4.934290796963947,0.07892283038132564
C6H6_GT,24h,XGBoost,7.679222534214396,5.831930743685201,-0.3594712036203065
C6H6_GT,24h,Naive_Baseline,6.087632889190049,4.140370018975332,0.14565670374241613
NOx_GT,1h,LinearRegression,144.97162933551576,102.76483197810072,0.5057409393087087
NOx_GT,1h,RandomForest,168.30131818892423,125.56967151572033,0.33386288073786086
NOx_GT,1h,XGBoost,176.3196285831962,129.53357384224864,0.2688778790049986
NOx_GT,1h,Naive_Baseline,108.86743431504522,70.62881276396058,0.7212694475705437
NOx_GT,6h,LinearRegression,186.3587842470046,140.9548703358403,0.1842251240432825
NOx_GT,6h,RandomForest,205.33268366390405,159.62190968955784,0.009654447784496312
NOx_GT,6h,XGBoost,202.76860049377348,152.8603299604983,0.034233812749257964
NOx_GT,6h,Naive_Baseline,268.598784713514,204.66368767638758,-0.6946447692931441
NOx_GT,12h,LinearRegression,183.9626694312681,135.60133840560368,0.2062036270981319
NOx_GT,12h,RandomForest,233.37460956703504,184.43869811320758,-0.2774882467053086
NOx_GT,12h,XGBoost,217.20180123893635,168.33105689739844,-0.10656403125462743
NOx_GT,12h,Naive_Baseline,259.35962684607614,199.97641509433961,-0.5778090753241603
NOx_GT,24h,LinearRegression,190.37578487390152,142.84349960482012,0.1523162948405382
NOx_GT,24h,RandomForest,238.59664897885173,187.28540322580645,-0.33149365394338615
NOx_GT,24h,XGBoost,215.64126943668086,168.6090221403474,-0.08761247602403066
NOx_GT,24h,Naive_Baseline,203.8188295402128,138.66650853889942,0.028374223639189178
NO2_GT,1h,LinearRegression,38.692923698987414,28.71776799003635,0.40450142244547527
NO2_GT,1h,RandomForest,50.05830457357554,38.28947911778508,0.0032874944010398144
NO2_GT,1h,XGBoost,50.21989919184476,38.785305516365156,-0.003157923391066353
NO2_GT,1h,Naive_Baseline,25.085877840147294,18.00516189582356,0.7496911293932678
NO2_GT,6h,LinearRegression,46.70893430258384,35.81118515694097,0.1330475504342794
NO2_GT,6h,RandomForest,50.538927002075994,38.941655691439315,-0.01495641989250207
NO2_GT,6h,XGBoost,48.54278232645686,36.87074260227207,0.06363603702557596
NO2_GT,6h,Naive_Baseline,66.92986809825675,53.86782690498589,-0.7800626959160559
NO2_GT,12h,LinearRegression,44.93827445490485,34.50374770660732,0.1984639411630562
NO2_GT,12h,RandomForest,46.559760757972356,36.27653301886792,0.13957749664908436
NO2_GT,12h,XGBoost,54.501537859251364,41.7046337199661,-0.17898368119653907
NO2_GT,12h,Naive_Baseline,66.92578965357612,54.83301886792453,-0.7777770212010855
NO2_GT,24h,LinearRegression,47.394161127441265,36.259402569719896,0.11052172314840014
NO2_GT,24h,RandomForest,51.10064247526834,39.549307400379504,-0.03404249181634511
NO2_GT,24h,XGBoost,51.58490041047379,39.818191670376166,-0.05373367054523315
NO2_GT,24h,Naive_Baseline,45.27747574950131,33.66650853889943,0.18819807288725898
